name,name-formatted,url
Aeres University of Applied Sciences,aeres-university-of-applied-sciences,https://www.aeres.eu/abohttps://www.amsterdamfashionacademy.com/privacy-policy/ut-privacy/privacy-statement
Amsterdam Fashion Academy,amsterdam-fashion-academy,https://www.amsterdamfashionacademy.com/privacy-policy/
Amsterdam University of Applied Sciences,amsterdam-university-of-applied-sciences,https://www.amsterdamuas.com/home/disclaimers/privacy
Amsterdam University of the Arts,amsterdam-university-of-the-arts,https://www.ahk.nl/en/contact/privacy/
Amsterdamse Hogeschool voor de Kunsten,amsterdamse-hogeschool-voor-de-kunsten,https://www.hku.nl/en/privacy-statement-disclaimer
ArtEZ University of the Arts,artez-university-of-the-arts,https://www.artez.nl/en/privacy-statement
Avans Hogeschool,avans-hogeschool,https://privacystatement.avans.nl/en/
Breda University of Applied Sciences,breda-university-of-applied-scienes,https://www.buas.nl/en/privacy-statement
Christelijke Hogeschool Ede,christelijke-hogeschool-ede,https://www.che.nl/en/privacy-statement
Codarts University of the Arts,codarts-university-of-the-arts,https://www.codarts.nl/fileadmin/user_upload/documenten/codarts_algemeen/imit/privacyverklaring_codarts_-_uitgebreide_versie_2.2__05-07-2019_en.pdf
Delft University of Technology,delft-university-of-technology,https://zenodo.org/records/4088123/files/TU%20Delft%20Research%20Data%20Framework%20Policy_June%202020.pdf?download=1
Design Academy Eindhoven,design-academy-eindhoven,https://intranet.designacademy.nl/Portals/0/www/corporate/DAE_PRIVACYSTATEMENT_APRIL19.pdf
Driestar Christian University,driestar-christian-university,https://www.driestar-christian-university.com/en/privacy-policy
Eindhoven University of Technology,eindhoven-university-of-technology,https://www.tue.nl/en/our-university/library/library-for-researchers-and-phds/research-data-management/after-research
Eindhoven University of Technology,eindhoven-university-of-technology,https://www.tue.nl/en/our-university/library/library-for-researchers-and-phds/research-data-management/after-research/data-repository
Eindhoven University of Technology,eindhoven-university-of-technology,https://www.tue.nl/en/our-university/library/library-for-researchers-and-phds/research-data-management/after-research/licensing
Eindhoven University of Technology,eindhoven-university-of-technology,https://www.tue.nl/en/our-university/library/library-for-researchers-and-phds/research-data-management/before-research
Eindhoven University of Technology,eindhoven-university-of-technology,https://www.tue.nl/en/our-university/library/library-for-researchers-and-phds/research-data-management/before-research/ethical-aproval
Eindhoven University of Technology,eindhoven-university-of-technology,https://www.tue.nl/en/our-university/library/library-for-researchers-and-phds/research-data-management/before-research/reuse-of-exsixting-data
Eindhoven University of Technology,eindhoven-university-of-technology,https://www.tue.nl/en/our-university/library/library-for-researchers-and-phds/research-data-management/rdm-themes/data-management-plan
Eindhoven University of Technology,eindhoven-university-of-technology,https://www.tue.nl/en/our-university/library/library-for-researchers-and-phds/research-data-management/rdm-themes/data-organization
Eindhoven University of Technology,eindhoven-university-of-technology,https://www.tue.nl/en/our-university/library/library-for-researchers-and-phds/research-data-management/rdm-themes/data-preservation
Eindhoven University of Technology,eindhoven-university-of-technology,https://www.tue.nl/en/our-university/library/library-for-researchers-and-phds/research-data-management/rdm-themes/data-storage-and-sharing
Eindhoven University of Technology,eindhoven-university-of-technology,https://www.tue.nl/en/our-university/library/library-for-researchers-and-phds/research-data-management/rdm-themes/documentation-and-metadata
Eindhoven University of Technology,eindhoven-university-of-technology,https://www.tue.nl/en/our-university/library/library-for-researchers-and-phds/research-data-management/rdm-themes/fair
Eindhoven University of Technology,eindhoven-university-of-technology,https://www.tue.nl/en/our-university/library/library-for-researchers-and-phds/research-data-management/rdm-themes/funder-requirements
Eindhoven University of Technology,eindhoven-university-of-technology,https://www.tue.nl/en/our-university/library/library-for-researchers-and-phds/research-data-management/rdm-themes/research-software
Erasmus University Rotterdam,erasmus-university-rotterdam,https://www.eur.nl/en/library/media/2021-03-bijlage-1-eur-rdm-policy-v10-20200814-1
Fontys University of Applied Sciences,fontys-university-of-applied-sciences,https://www.fontys.nl/en/Download-4/Privacyreglement-Studenten-2017-EN-2.htm
Gerrit Rietveld Academy,gerrit-rietveld-academie,https://rietveldacademie.nl/en/media/inline/2018/6/7/avg_bijlage_1_verwerkingsdocument_studenten_engels.pdf
HAN University of Applied Sciences,han-university-of-applied-sciences,https://www.hanuniversity.com/en/privacy/2023-HAN-Privacy-Statement.pdf
Hanze University of Applied Sciences,hanze-university-of-applied-sciences,https://libguides.hanze.nl/rdm-english/policy-hanze-uas
HAS green academy,has-green-academy,https://www.has.nl/en/privacy-statement/
Hogeschool Leiden,hogeschool-leiden,
Hogeschool voor de Kunsten Utrecht,hogeschool-voor-de-kunsten-utrecht,https://www.hku.nl/en/privacy-statement-disclaimer
Hotelschool The Hague,hotelschool-the-hague,https://www.hotelschool.nl/privacy
HU University of Applied Sciences Utrecht,hu-university-of-applied-sciences-utrecht,https://www.internationalhu.com/-/media/hu/documenten/privacy/privacyverklaring-hogeschool-utrecht-versie-15-mei-2018-en.ashx
HZ University of Applied Sciences,hz-university-of-applied-sciences,https://hz.nl/en/privacy-statement
Inholland University of Applied Sciences,inholland-university-of-applied-sciences,https://www.inholland.nl/media/20939/privacy-statement-inholland-2020.pdf
Leiden University,leiden-university,https://www.organisatiegids.universiteitleiden.nl/binaries/content/assets/ul2staff/reglementen/onderzoek/research-data-management-regulations-leiden-university.pdf
Leiden University,leiden-university,https://www.universiteitleiden.nl/binaries/content/assets/sociale-wetenschappen/ca-os/data-management-plan-cads-april-2019.pdf
Maastricht University,maastricht-university,https://www.maastrichtuniversity.nl/file/researchdatamanagementcodeofcunductnlenenpdf
Maritime & Logistics University of Applied Sciences,maritime-and-logistics-university-of-applied-sciences,
Marnix Academie,marnix-academie,https://www.marnixacademie.nl/privacy-statement
NHL Stenden University of Applied Sciences,nhl-stenden-university-of-applied-sciences,https://www.nhlstenden.com/en/privacy-statement
Nyenrode Business Universiteit,nyenrode-business-universiteit,
Open Universiteit,open-universiteit,https://www.ou.nl/en/research-data-management
Radboud University,radboud-university,https://www.ru.nl/en/about-us/policies-and-regulations/research-data-management/guidelines-for-research-data-management
Rotterdam University of Applied Sciences,rotterdam-university-of-applied-sciences,https://www.rotterdamuas.com/footer/legal/privacy/
"Royal Academy of Art, The Hague",royal-academy-of-art-the-hague,https://www.kabk.nl/en/privacy-policy
Royal Conservatoire The Hague,royal-conservatoire-the-hague,https://www.koncon.nl/en/privacy-policy
Saxion University of Applied Sciences,saxion-university-of-applied-sciences,https://srs.saxion.nl/wp-content/uploads/2018/01/RDM_Guidelines2018.pdf
The Hague University of Applied Sciences,the-hague-university-of-applied-sciences,https://www.thuas.com/research/research-support/research-policy
TIAS Business School ,tias-business-school,https://www.tias.edu/en/privacy-policy
Tilburg University,tilburg-university,https://www.tilburguniversity.edu/sites/default/files/download/Research%20Data%20Management%20Regulation%20%28version%20April2020%29.pdf
Tinbergen Institute,tinbergen-institute,https://tinbergen.nl/privacy
Tio University of Applied Sciences,tio-university-of-applied-sciences,https://www.tio.nl/en/contact/privacy_statement/
University of Amsterdam,university-of-amsterdam,https://aihr.uva.nl/about-aihr/research-data-management/research-data-management-at-aihr-and-uva-figshare.html
University of Amsterdam,university-of-amsterdam,https://rdm.uva.nl/binaries/content/assets/subsites/research-data-management/beleid/2020_uvaguidelinesrdm.pdf
University of Amsterdam,university-of-amsterdam,https://rdm.uva.nl/binaries/content/assets/subsites/research-data-management/beleid/hva-rdm-guidelines_en.pdf
University of Amsterdam,university-of-amsterdam,https://rdm.uva.nl/en/planning/uva-policy/uva-and-auas-policy.html
University of Groningen,university-of-groningen,https://www.rug.nl/digital-competence-centre/ug-research-data-policy-2021.pdf
University of Humanistic Studies,university-of-humanistic-studies,
University of Twente,university-of-twente,
Utrecht University,utrecht-university,https://www.utwente.nl/en/service-portal/services/lisa/resources/files/library-public/research-data-policy-ut.pdf
Van Hall Larenstein,van-hall-larenstein,
Viaa Christian University of Applied Sciences,viaa-christian-university-of-applied-sciences,
